company_name,civil_event,release_date,resolution_date,Monetary/Fine
GOLDMAN SACHS & CO.LLC,civil_event,2010/4/16,2010/7/20,"535,000,000.00"
GOLDMAN SACHS & CO.LLC,civil_event,2005/1/25,2005/1/25,"40,000,000.00"
GOLDMAN SACHS & CO.LLC,civil_event,2003/4/28,2003/10/31,"25,000,000.00"
CREDIT SUISSE SECURITIES (USA) LLC,civil_event,2012/11/20,2018/12/31,"10,000,000"
CREDIT SUISSE SECURITIES (USA) LLC,civil_event,2013/7/16,2015/9/4,"211,863,998.56"
CREDIT SUISSE SECURITIES (USA) LLC,civil_event,2003/4/28,2003/10/31,"200,000,000.00"
CITIGROUP GLOBAL MARKETS INC.,civil_event,2011/10/19,2014/8/5,"95,000,000.00"
CITIGROUP GLOBAL MARKETS INC.,civil_event,2008/12/11,2008/12/22,
CITIGROUP GLOBAL MARKETS INC.,civil_event,2003/4/28,2003/10/31,"150,000,000.00"
CITIGROUP GLOBAL MARKETS INC.,civil_event,1996/12/1,1999/5/11,"1,333,333"
"WELLS FARGO SECURITIES, LLC",civil_event,2016/3/7,2019/3/20,"812,500.00"
DEUTSCHE,civil_event,2009/3/6,2009/6/9,
DEUTSCHE,civil_event,2004/8/26,2004/9/24,"32,500,000.00"
